 ,2 nhân vật chính bị tự kỷ nha
 ,Phim ý nghĩa quá 😀😀😀😀
 ,Trí nhớ nhựa đi ad
 ,xD.....
 ,Cảm cờ động ghi
 ,tôi nghiệp cho Nishmiya shoko
 ,"Như cuộc đời như mình 😔
Xem mãi vẫn bùn 😔
Có ai giống như mình điểm danh cái"
 ,cảm động lắm mà t đéo khóc
 ,Hay quá
 ,làm nhiều anime đi chị
 ,Phim xúc động nhưng hơi lộn xộn xem kỹ mới hiểu
 ,3:41 ad hủ nữ hay j zị🌚
 ,Mà ở nước Nhật cứ lấy quá khứ ra tự trách cho nhau rồi đau buồn có 1 chút bắt đầu nghĩ đến tự tử khổ
 ,Hay lắm em ơi anh thich kinh em cho anh giao lưu qua lai nghe Em kinh anh xep pham ok.
 ,Kết thúc của phim và kết thúc của 1 người là 2 thế giới khác nhau !
 ,Tui coi cái này mà khóc như mưa lun :((
 ,Cứ đến đâu là soja lại gặp đc bạn cũ thế
 ,Cảm ơn bạn
 ,Hay quá
 ,Xem tóm tắt phim này cỡ 10 lân luôn :))
 ,Hi chị
 ,Ko ưa tính cách con tóc đen
 ,phim hay nhưng t chỉ để ý mỗi người mẹ của con bé bị bắt nạt =))
 ,tui có khóc đầu :V
 ,😭😭😭😭😭😭😭😭
 ,;-; sao k rì viu cả phim hành động 18+ đi
 ,"Mong nữ 9 với nam 9 thành đôi thôi :(((
Tội nữ 9 thích nam9 hông nói được chữ yêu nam9"
 ,Cái này em coi rồi nó hay vcl
 ,Phim này mình coi thấy rất là dở không hay tí nào
 ,"Ai biết còn phim nào hay như này ko vậy cho mik xin vài bộ,buồn buồn xíu mới hay"
 ,"Tớ không ghét tóc đen 
Mà ghét con lớp trưởng tóc bạch kim á:)))))"
 ,Phm này mk xem đi xem lai
 ,Review nhiều phim anime đc k ạh☺️
 ,Tôi thấy đc bản thân mình trong này
 ,Ước gì mấy đứa hay bắt nạt người khác cũng bị xa lánh như vậy. Gieo nhân nào gặt quả đó thôi em.
 ,Ngoan hiền mà sao đọc có chữ ngoan ậu
 ,Chi lam sakura5cm chi oi
 ,Thấy hay mà sao có 182 ko like vậy🤔
 ,Kệ  chị đang làm việc với kẻ truy cầu nguyện của mình mà tiếp đi em yêu ngủ ngon mơ siêu đệp vào đây đi làm chưa về
 ,Chưa hiểu lắm!!(
 ,Làm ơn để thêm tên gốc của anime cho người khác biết đến nó nữa.
 ,Không biết nói sao nhưng k ưa con tóc đen hay bắt nạt n9 :))
 ,Cho mk hỏi xem ở đâu vậy
 ,Tôi trầm cảm
 ,Phim này hay ghê
 ,"Đến cuối phim tôi vẫn không thấy được mặt của chị nam chính, mà bạn nào muốn biết thêm những chuyện xảy ra tiếp theo thì tìm đến manga mà đọc nha"
 ,Phim hay và rất cảm động nữa
 ,review hơi sai rồi 1:14 là main chính bắt nạt con shoko mà với lại lúc đầu video review có phần sai 0:31 là thằng main này nó ghét con shoko nhé nên mới ném cát nhưng review phần còn lại ổn rồi 9/10
 ,Hay quá chị ơi
 ,T môg nhữg kênh review phim thế này sẽ bị kiện ra tò. Má 1 bộ phim hay và ý nghĩa vcl nó review trong 13phut là bay màu 1 bộ anime siêu phẩm 😡😡🤬🤬🤬
 ,Khóc ( đùa) :))))
 ,😎
 ,Em cho 10000000 lsiq
 ,Thanh niên tự kỉ
 ,Thích người bắt nạt mình...?
 ,Thật sự ghét con Ueno vãi 🤷🤷 nó chưa bị ăn đánh >:((
 ,3:41 mặn mòi z bà 😂😂
 ,😝
 ,12:50 không biết tại sao trời lại nắng - không biết tại sao anh là ánh nắng của em 🛡
 ,Bộ phim này làm tôi nhớ tới lúc tôi còn nhỏ khi bị bạo hành học đường
Emotion,Sentence
 ,Một bộ phim lấy nước mắt của nhiều người. Nhiều thông điệp trong bộ phim này lắm. Hãy chia sẻ cảm nhận của bạn nhé!
 ,Cậu khóc ngon lành khóc như chưa từng được  khóc😅😅😅😅
 ,Phim kết hay quá
 ,Cháu nhìn cute quá à!~
 ,T đã khóc rất nhiều khi xem phim này 😢😢
 ,6:22 :))?
 ,Ôi ad là Hủ à
 ,Xem tóm tắt mà cảm nhận được như xem hết bộ phim luôn z
 ,Việc tóm tắt phim lm mất đi giá trị
 ,Khoc may lan luon a😭😭😭😭😭😭😭😭
 ,"Kết cục là họ ko yêu nhau,theo mình những hi sinh to lớn cho nhau như vậy thì nên kết cục bằng tình yêu,tiếc là đây là phim tình bạn nên tác giả lại nghĩ khác"
 ,rồi họ có yêu nhau ko😇😇😢
 ,XXX SO CÔ
 ,em không có ai chơi cùng
 ,🙁🙁🙁🙁🙁
 ,Tôi cũng là người điếc đây! Tôi đang có ny với người nghe nè các bạn 😊
 ,"Tóm tắt thế này thì mất hết giá trị hình ảnh của bộ phim này thật,khuyên các bạn nên tự mình cảm nhận bộ phim hơn là xem tóm tắt,vì chúng ta sẽ kh cảm nhận đc hết những gì phim mang lại"
 ,S
 ,Tên phim là gì vậy ạ
 ,Cái  phim  này  cũng  hay
 ,xd
 ,Chị mình hỏi là phần xúc động ở chỗ nào với ạ ?
 ,Và cảm động
 ,Phim này xem ý nghĩa
 ,Chị làm về thành gươm diệt quỷ đi
 ,"Phim đầu tiên ko bị gắn bản quyền
Chiếc máy ảnh của yuzu vẫn có logo nikon( nếu ở trong conan thì sẽ thành licon)
Và chiếc ipad pro 2017 12 inch có giao diện ios 11 trong khi ở conan sẽ là eyepad"
 ,mấy năm trc cg hay nghe nhạc fim này.Lại cứ kết thúc bài đúng đoạn tóc hồng tự tử.Lại tưởng KO CÓ HẬU😢
 ,Cố lên nhỡ đâu  khi bn mở lòng ra  thì .........người ta đã đi rồi thì sao
 ,😶😔
 ,hay nè nha
 ,Mỗi lần xem đều rớt nước mắt 💧💧💧
 ,Cho em xin link nhạc với
 ,Ai xem bộ này không khóc thì hơi bị nể luôn
 ,Bộ anime đầu tiên làm t khóc. Có rất nhiều bộ buồn nhưng để khóc thì đúng mỗi bộ này. Lúc main ngước nhùn mọi người những dào cản được gỡ bỏ thật cảm động.
 ,"tóc đen
tóc bạch kim
tóc đỏ
xem xong cái loạn :Đ"
 ,Coi full phim trên anime vietsub
 ,😢😢😢
 ,Phim này hay quá chị ơi
 ,Khóc ngon lành :v
 ,Ad review nisekoi đc k ạ
 ,2 nhân vật chính bị tự kỷ nha
 ,Phim ý nghĩa quá 😀😀😀😀
 ,Trí nhớ nhựa đi ad
 ,xD.....
 ,Cảm cờ động ghi
 ,tôi nghiệp cho Nishmiya shoko
 ,"Như cuộc đời như mình 😔
Xem mãi vẫn bùn 😔
Có ai giống như mình điểm danh cái"
 ,cảm động lắm mà t đéo khóc
 ,Hay quá
 ,làm nhiều anime đi chị
 ,Phim xúc động nhưng hơi lộn xộn xem kỹ mới hiểu
 ,3:41 ad hủ nữ hay j zị🌚
 ,Mà ở nước Nhật cứ lấy quá khứ ra tự trách cho nhau rồi đau buồn có 1 chút bắt đầu nghĩ đến tự tử khổ
 ,Hay lắm em ơi anh thich kinh em cho anh giao lưu qua lai nghe Em kinh anh xep pham ok.
 ,Kết thúc của phim và kết thúc của 1 người là 2 thế giới khác nhau !
 ,Tui coi cái này mà khóc như mưa lun :((
 ,Cứ đến đâu là soja lại gặp đc bạn cũ thế
 ,Cảm ơn bạn
 ,Hay quá
 ,Xem tóm tắt phim này cỡ 10 lân luôn :))
 ,Hi chị
 ,Ko ưa tính cách con tóc đen
 ,phim hay nhưng t chỉ để ý mỗi người mẹ của con bé bị bắt nạt =))
 ,tui có khóc đầu :V
 ,😭😭😭😭😭😭😭😭
 ,;-; sao k rì viu cả phim hành động 18+ đi
 ,"Mong nữ 9 với nam 9 thành đôi thôi :(((
Tội nữ 9 thích nam9 hông nói được chữ yêu nam9"
 ,Cái này em coi rồi nó hay vcl
 ,Phim này mình coi thấy rất là dở không hay tí nào
 ,"Ai biết còn phim nào hay như này ko vậy cho mik xin vài bộ,buồn buồn xíu mới hay"
 ,"Tớ không ghét tóc đen 
Mà ghét con lớp trưởng tóc bạch kim á:)))))"
 ,Phm này mk xem đi xem lai
 ,Review nhiều phim anime đc k ạh☺️
 ,Tôi thấy đc bản thân mình trong này
 ,Ước gì mấy đứa hay bắt nạt người khác cũng bị xa lánh như vậy. Gieo nhân nào gặt quả đó thôi em.
 ,Ngoan hiền mà sao đọc có chữ ngoan ậu
 ,Chi lam sakura5cm chi oi
 ,Thấy hay mà sao có 182 ko like vậy🤔
 ,Kệ  chị đang làm việc với kẻ truy cầu nguyện của mình mà tiếp đi em yêu ngủ ngon mơ siêu đệp vào đây đi làm chưa về
 ,Chưa hiểu lắm!!(
 ,Làm ơn để thêm tên gốc của anime cho người khác biết đến nó nữa.
 ,Không biết nói sao nhưng k ưa con tóc đen hay bắt nạt n9 :))
 ,Cho mk hỏi xem ở đâu vậy
 ,Tôi trầm cảm
 ,Phim này hay ghê
 ,"Đến cuối phim tôi vẫn không thấy được mặt của chị nam chính, mà bạn nào muốn biết thêm những chuyện xảy ra tiếp theo thì tìm đến manga mà đọc nha"
 ,Phim hay và rất cảm động nữa
 ,review hơi sai rồi 1:14 là main chính bắt nạt con shoko mà với lại lúc đầu video review có phần sai 0:31 là thằng main này nó ghét con shoko nhé nên mới ném cát nhưng review phần còn lại ổn rồi 9/10
 ,Hay quá chị ơi
 ,T môg nhữg kênh review phim thế này sẽ bị kiện ra tò. Má 1 bộ phim hay và ý nghĩa vcl nó review trong 13phut là bay màu 1 bộ anime siêu phẩm 😡😡🤬🤬🤬
 ,Khóc ( đùa) :))))
 ,😎
 ,Em cho 10000000 lsiq
 ,Thanh niên tự kỉ
 ,Thích người bắt nạt mình...?
 ,Thật sự ghét con Ueno vãi 🤷🤷 nó chưa bị ăn đánh >:((
 ,3:41 mặn mòi z bà 😂😂
 ,😝
 ,12:50 không biết tại sao trời lại nắng - không biết tại sao anh là ánh nắng của em 🛡
 ,Bộ phim này làm tôi nhớ tới lúc tôi còn nhỏ khi bị bạo hành học đường
Emotion,Sentence
 ,Một bộ phim lấy nước mắt của nhiều người. Nhiều thông điệp trong bộ phim này lắm. Hãy chia sẻ cảm nhận của bạn nhé!
 ,Cậu khóc ngon lành khóc như chưa từng được  khóc😅😅😅😅
 ,Phim kết hay quá
 ,Cháu nhìn cute quá à!~
 ,T đã khóc rất nhiều khi xem phim này 😢😢
 ,6:22 :))?
 ,Ôi ad là Hủ à
 ,Xem tóm tắt mà cảm nhận được như xem hết bộ phim luôn z
 ,Việc tóm tắt phim lm mất đi giá trị
 ,Khoc may lan luon a😭😭😭😭😭😭😭😭
 ,"Kết cục là họ ko yêu nhau,theo mình những hi sinh to lớn cho nhau như vậy thì nên kết cục bằng tình yêu,tiếc là đây là phim tình bạn nên tác giả lại nghĩ khác"
 ,rồi họ có yêu nhau ko😇😇😢
 ,XXX SO CÔ
 ,em không có ai chơi cùng
 ,🙁🙁🙁🙁🙁
 ,Tôi cũng là người điếc đây! Tôi đang có ny với người nghe nè các bạn 😊
 ,"Tóm tắt thế này thì mất hết giá trị hình ảnh của bộ phim này thật,khuyên các bạn nên tự mình cảm nhận bộ phim hơn là xem tóm tắt,vì chúng ta sẽ kh cảm nhận đc hết những gì phim mang lại"
 ,S
 ,Tên phim là gì vậy ạ
 ,Cái  phim  này  cũng  hay
 ,xd
 ,Chị mình hỏi là phần xúc động ở chỗ nào với ạ ?
 ,Và cảm động
 ,Phim này xem ý nghĩa
 ,Chị làm về thành gươm diệt quỷ đi
 ,"Phim đầu tiên ko bị gắn bản quyền
Chiếc máy ảnh của yuzu vẫn có logo nikon( nếu ở trong conan thì sẽ thành licon)
Và chiếc ipad pro 2017 12 inch có giao diện ios 11 trong khi ở conan sẽ là eyepad"
 ,mấy năm trc cg hay nghe nhạc fim này.Lại cứ kết thúc bài đúng đoạn tóc hồng tự tử.Lại tưởng KO CÓ HẬU😢
 ,Cố lên nhỡ đâu  khi bn mở lòng ra  thì .........người ta đã đi rồi thì sao
 ,😶😔
 ,hay nè nha
 ,Mỗi lần xem đều rớt nước mắt 💧💧💧
 ,Cho em xin link nhạc với
 ,Ai xem bộ này không khóc thì hơi bị nể luôn
 ,Bộ anime đầu tiên làm t khóc. Có rất nhiều bộ buồn nhưng để khóc thì đúng mỗi bộ này. Lúc main ngước nhùn mọi người những dào cản được gỡ bỏ thật cảm động.
 ,"tóc đen
tóc bạch kim
tóc đỏ
xem xong cái loạn :Đ"
 ,Coi full phim trên anime vietsub
 ,😢😢😢
 ,Phim này hay quá chị ơi
 ,Khóc ngon lành :v
 ,Ad review nisekoi đc k ạ
 ,2 nhân vật chính bị tự kỷ nha
 ,Phim ý nghĩa quá 😀😀😀😀
 ,Trí nhớ nhựa đi ad
 ,xD.....
 ,Cảm cờ động ghi
 ,tôi nghiệp cho Nishmiya shoko
 ,"Như cuộc đời như mình 😔
Xem mãi vẫn bùn 😔
Có ai giống như mình điểm danh cái"
 ,cảm động lắm mà t đéo khóc
 ,Hay quá
 ,làm nhiều anime đi chị
 ,Phim xúc động nhưng hơi lộn xộn xem kỹ mới hiểu
 ,3:41 ad hủ nữ hay j zị🌚
 ,Mà ở nước Nhật cứ lấy quá khứ ra tự trách cho nhau rồi đau buồn có 1 chút bắt đầu nghĩ đến tự tử khổ
 ,Hay lắm em ơi anh thich kinh em cho anh giao lưu qua lai nghe Em kinh anh xep pham ok.
 ,Kết thúc của phim và kết thúc của 1 người là 2 thế giới khác nhau !
 ,Tui coi cái này mà khóc như mưa lun :((
 ,Cứ đến đâu là soja lại gặp đc bạn cũ thế
 ,Cảm ơn bạn
 ,Hay quá
 ,Xem tóm tắt phim này cỡ 10 lân luôn :))
 ,Hi chị
 ,Ko ưa tính cách con tóc đen
 ,phim hay nhưng t chỉ để ý mỗi người mẹ của con bé bị bắt nạt =))
 ,tui có khóc đầu :V
 ,😭😭😭😭😭😭😭😭
 ,;-; sao k rì viu cả phim hành động 18+ đi
 ,"Mong nữ 9 với nam 9 thành đôi thôi :(((
Tội nữ 9 thích nam9 hông nói được chữ yêu nam9"
 ,Cái này em coi rồi nó hay vcl
 ,Phim này mình coi thấy rất là dở không hay tí nào
 ,"Ai biết còn phim nào hay như này ko vậy cho mik xin vài bộ,buồn buồn xíu mới hay"
 ,"Tớ không ghét tóc đen 
Mà ghét con lớp trưởng tóc bạch kim á:)))))"
 ,Phm này mk xem đi xem lai
 ,Review nhiều phim anime đc k ạh☺️
 ,Tôi thấy đc bản thân mình trong này
 ,Ước gì mấy đứa hay bắt nạt người khác cũng bị xa lánh như vậy. Gieo nhân nào gặt quả đó thôi em.
 ,Ngoan hiền mà sao đọc có chữ ngoan ậu
 ,Chi lam sakura5cm chi oi
 ,Thấy hay mà sao có 182 ko like vậy🤔
 ,Kệ  chị đang làm việc với kẻ truy cầu nguyện của mình mà tiếp đi em yêu ngủ ngon mơ siêu đệp vào đây đi làm chưa về
 ,Chưa hiểu lắm!!(
 ,Làm ơn để thêm tên gốc của anime cho người khác biết đến nó nữa.
 ,Không biết nói sao nhưng k ưa con tóc đen hay bắt nạt n9 :))
 ,Cho mk hỏi xem ở đâu vậy
 ,Tôi trầm cảm
 ,Phim này hay ghê
 ,"Đến cuối phim tôi vẫn không thấy được mặt của chị nam chính, mà bạn nào muốn biết thêm những chuyện xảy ra tiếp theo thì tìm đến manga mà đọc nha"
 ,Phim hay và rất cảm động nữa
 ,review hơi sai rồi 1:14 là main chính bắt nạt con shoko mà với lại lúc đầu video review có phần sai 0:31 là thằng main này nó ghét con shoko nhé nên mới ném cát nhưng review phần còn lại ổn rồi 9/10
 ,Hay quá chị ơi
 ,T môg nhữg kênh review phim thế này sẽ bị kiện ra tò. Má 1 bộ phim hay và ý nghĩa vcl nó review trong 13phut là bay màu 1 bộ anime siêu phẩm 😡😡🤬🤬🤬
 ,Khóc ( đùa) :))))
 ,😎
 ,Em cho 10000000 lsiq
 ,Thanh niên tự kỉ
 ,Thích người bắt nạt mình...?
 ,Thật sự ghét con Ueno vãi 🤷🤷 nó chưa bị ăn đánh >:((
 ,3:41 mặn mòi z bà 😂😂
 ,😝
 ,12:50 không biết tại sao trời lại nắng - không biết tại sao anh là ánh nắng của em 🛡
 ,Bộ phim này làm tôi nhớ tới lúc tôi còn nhỏ khi bị bạo hành học đường
Emotion,Sentence
 ,Một bộ phim lấy nước mắt của nhiều người. Nhiều thông điệp trong bộ phim này lắm. Hãy chia sẻ cảm nhận của bạn nhé!
 ,Cậu khóc ngon lành khóc như chưa từng được  khóc😅😅😅😅
 ,Phim kết hay quá
 ,Cháu nhìn cute quá à!~
 ,T đã khóc rất nhiều khi xem phim này 😢😢
 ,6:22 :))?
 ,Ôi ad là Hủ à
 ,Xem tóm tắt mà cảm nhận được như xem hết bộ phim luôn z
 ,Việc tóm tắt phim lm mất đi giá trị
 ,Khoc may lan luon a😭😭😭😭😭😭😭😭
 ,"Kết cục là họ ko yêu nhau,theo mình những hi sinh to lớn cho nhau như vậy thì nên kết cục bằng tình yêu,tiếc là đây là phim tình bạn nên tác giả lại nghĩ khác"
 ,rồi họ có yêu nhau ko😇😇😢
 ,XXX SO CÔ
 ,em không có ai chơi cùng
 ,🙁🙁🙁🙁🙁
 ,Tôi cũng là người điếc đây! Tôi đang có ny với người nghe nè các bạn 😊
 ,"Tóm tắt thế này thì mất hết giá trị hình ảnh của bộ phim này thật,khuyên các bạn nên tự mình cảm nhận bộ phim hơn là xem tóm tắt,vì chúng ta sẽ kh cảm nhận đc hết những gì phim mang lại"
 ,S
 ,Tên phim là gì vậy ạ
 ,Cái  phim  này  cũng  hay
 ,xd
 ,Chị mình hỏi là phần xúc động ở chỗ nào với ạ ?
 ,Và cảm động
 ,Phim này xem ý nghĩa
 ,Chị làm về thành gươm diệt quỷ đi
 ,"Phim đầu tiên ko bị gắn bản quyền
Chiếc máy ảnh của yuzu vẫn có logo nikon( nếu ở trong conan thì sẽ thành licon)
Và chiếc ipad pro 2017 12 inch có giao diện ios 11 trong khi ở conan sẽ là eyepad"
 ,mấy năm trc cg hay nghe nhạc fim này.Lại cứ kết thúc bài đúng đoạn tóc hồng tự tử.Lại tưởng KO CÓ HẬU😢
 ,Cố lên nhỡ đâu  khi bn mở lòng ra  thì .........người ta đã đi rồi thì sao
 ,😶😔
 ,hay nè nha
 ,Mỗi lần xem đều rớt nước mắt 💧💧💧
 ,Cho em xin link nhạc với
 ,Ai xem bộ này không khóc thì hơi bị nể luôn
 ,Bộ anime đầu tiên làm t khóc. Có rất nhiều bộ buồn nhưng để khóc thì đúng mỗi bộ này. Lúc main ngước nhùn mọi người những dào cản được gỡ bỏ thật cảm động.
 ,"tóc đen
tóc bạch kim
tóc đỏ
xem xong cái loạn :Đ"
 ,Coi full phim trên anime vietsub
 ,😢😢😢
 ,Phim này hay quá chị ơi
 ,Khóc ngon lành :v
 ,Ad review nisekoi đc k ạ
 ,2 nhân vật chính bị tự kỷ nha
 ,Phim ý nghĩa quá 😀😀😀😀
 ,Trí nhớ nhựa đi ad
 ,xD.....
 ,Cảm cờ động ghi
 ,tôi nghiệp cho Nishmiya shoko
 ,"Như cuộc đời như mình 😔
Xem mãi vẫn bùn 😔
Có ai giống như mình điểm danh cái"
 ,cảm động lắm mà t đéo khóc
 ,Hay quá
 ,làm nhiều anime đi chị
 ,Phim xúc động nhưng hơi lộn xộn xem kỹ mới hiểu
 ,3:41 ad hủ nữ hay j zị🌚
 ,Mà ở nước Nhật cứ lấy quá khứ ra tự trách cho nhau rồi đau buồn có 1 chút bắt đầu nghĩ đến tự tử khổ
 ,Hay lắm em ơi anh thich kinh em cho anh giao lưu qua lai nghe Em kinh anh xep pham ok.
 ,Kết thúc của phim và kết thúc của 1 người là 2 thế giới khác nhau !
 ,Tui coi cái này mà khóc như mưa lun :((
 ,Cứ đến đâu là soja lại gặp đc bạn cũ thế
 ,Cảm ơn bạn
 ,Hay quá
 ,Xem tóm tắt phim này cỡ 10 lân luôn :))
 ,Hi chị
 ,Ko ưa tính cách con tóc đen
 ,phim hay nhưng t chỉ để ý mỗi người mẹ của con bé bị bắt nạt =))
 ,tui có khóc đầu :V
 ,😭😭😭😭😭😭😭😭
 ,;-; sao k rì viu cả phim hành động 18+ đi
 ,"Mong nữ 9 với nam 9 thành đôi thôi :(((
Tội nữ 9 thích nam9 hông nói được chữ yêu nam9"
 ,Cái này em coi rồi nó hay vcl
 ,Phim này mình coi thấy rất là dở không hay tí nào
 ,"Ai biết còn phim nào hay như này ko vậy cho mik xin vài bộ,buồn buồn xíu mới hay"
 ,"Tớ không ghét tóc đen 
Mà ghét con lớp trưởng tóc bạch kim á:)))))"
 ,Phm này mk xem đi xem lai
 ,Review nhiều phim anime đc k ạh☺️
 ,Tôi thấy đc bản thân mình trong này
 ,Ước gì mấy đứa hay bắt nạt người khác cũng bị xa lánh như vậy. Gieo nhân nào gặt quả đó thôi em.
 ,Ngoan hiền mà sao đọc có chữ ngoan ậu
 ,Chi lam sakura5cm chi oi
 ,Thấy hay mà sao có 182 ko like vậy🤔
 ,Kệ  chị đang làm việc với kẻ truy cầu nguyện của mình mà tiếp đi em yêu ngủ ngon mơ siêu đệp vào đây đi làm chưa về
 ,Chưa hiểu lắm!!(
 ,Làm ơn để thêm tên gốc của anime cho người khác biết đến nó nữa.
 ,Không biết nói sao nhưng k ưa con tóc đen hay bắt nạt n9 :))
 ,Cho mk hỏi xem ở đâu vậy
 ,Tôi trầm cảm
 ,Phim này hay ghê
 ,"Đến cuối phim tôi vẫn không thấy được mặt của chị nam chính, mà bạn nào muốn biết thêm những chuyện xảy ra tiếp theo thì tìm đến manga mà đọc nha"
 ,Phim hay và rất cảm động nữa
 ,review hơi sai rồi 1:14 là main chính bắt nạt con shoko mà với lại lúc đầu video review có phần sai 0:31 là thằng main này nó ghét con shoko nhé nên mới ném cát nhưng review phần còn lại ổn rồi 9/10
 ,Hay quá chị ơi
 ,T môg nhữg kênh review phim thế này sẽ bị kiện ra tò. Má 1 bộ phim hay và ý nghĩa vcl nó review trong 13phut là bay màu 1 bộ anime siêu phẩm 😡😡🤬🤬🤬
 ,Khóc ( đùa) :))))
 ,😎
 ,Em cho 10000000 lsiq
 ,Thanh niên tự kỉ
 ,Thích người bắt nạt mình...?
 ,Thật sự ghét con Ueno vãi 🤷🤷 nó chưa bị ăn đánh >:((
 ,3:41 mặn mòi z bà 😂😂
 ,😝
 ,12:50 không biết tại sao trời lại nắng - không biết tại sao anh là ánh nắng của em 🛡
 ,Bộ phim này làm tôi nhớ tới lúc tôi còn nhỏ khi bị bạo hành học đường
